Altium Designer Pick and Place Locations
C:\Work\6MS\Hardware\Master Board\ProjectOutputs\PCB Fab\Pick Place\Pick Place for Local Master(Three Resistor).txt

========================================================================================================================
File Design Information:

Date:       11-01-21
Time:       17:26
Revision:   aa3b334c2c4bd404bbbe23983af0b36f8c92ec99
Variant:    Three Resistor
Units used: mm

Designator Comment                                    Layer    Footprint       Center-X(mm) Center-Y(mm) Rotation Description                                
C1         "Cap Ceramic 0.1u 25V X7R 0603"            TopLayer CAPC1608N-0603  123.5000     112.6000     360      "Cap Ceramic 0.1u 25V X7R 0603"            
C2         "Cap Ceramic 0.1u 25V X7R 0603"            TopLayer CAPC1608N-0603  112.2000     127.6000     90       "Cap Ceramic 0.1u 25V X7R 0603"            
C3         "Cap Ceramic 0.1u 25V X7R 0603"            TopLayer CAPC1608N-0603  111.1000     109.1000     180      "Cap Ceramic 0.1u 25V X7R 0603"            
C6         "Cap Ceramic 0.1u 25V X7R 0603"            TopLayer CAPC1608N-0603  113.7000     110.7000     180      "Cap Ceramic 0.1u 25V X7R 0603"            
C7         "Cap Ceramic 0.1u 50V X7R 0603"            TopLayer CAPC1608N-0603  123.4000     101.6000     180      "Cap Ceramic 0.1u 50V X7R 0603"            
C8         "Cap Ceramic 0.1u 50V X7R 0603"            TopLayer CAPC1608N-0603  77.2000      107.2000     270      "Cap Ceramic 0.1u 50V X7R 0603"            
C9         "Cap Ceramic 0.1u 25V X7R 0603"            TopLayer CAPC1608N-0603  119.5000     131.6000     90       "Cap Ceramic 0.1u 25V X7R 0603"            
C10        "Cap Ceramic 0.1u 25V X7R 0603"            TopLayer CAPC1608N-0603  117.9000     131.6000     90       "Cap Ceramic 0.1u 25V X7R 0603"            
D2         "Diode Zener 24V 0.5W SOD-123"             TopLayer SOD-123         81.0000      104.3000     360      "Diode Zener 24V 0.5W SOD-123"             
J1         "Conn Header 2.5mm Vert 2-Pos EH"          TopLayer B2B-EH          91.7500      140.4000     360      "Conn Header 2.5mm Vert 2-Pos EH"          
J2         "Conn Header 2.5mm Vert 2-Pos EH"          TopLayer B2B-EH          82.7500      140.4000     360      "Conn Header 2.5mm Vert 2-Pos EH"          
J3         "Conn Header 1.5mm Vert 5-Pos ZH"          TopLayer B5B-ZR          114.3000     139.2000     180      "Conn Header 1.5mm Vert 5-Pos ZH"          
Q1         "Tran PNP Darl 30V 500mA SOT-23"           TopLayer SOT23-3N        148.8000     110.9000     360      "Tran PNP Darl 30V 500mA SOT-23"           
Q2         "Tran NPN 40V 200mA SOT-23"                TopLayer SOT23-3N        135.4500     113.4000     0        "Tran NPN 40V 200mA SOT-23"                
Q3         "Tran PNP Darl 30V 500mA SOT-23"           TopLayer SOT23-3N        148.8000     116.4000     0        "Tran PNP Darl 30V 500mA SOT-23"           
Q4         "Tran NPN 40V 200mA SOT-23"                TopLayer SOT23-3N        135.4500     118.4000     0        "Tran NPN 40V 200mA SOT-23"                
Q5         "Tran NPN 40V 200mA SOT-23"                TopLayer SOT23-3N        93.2000      132.3000     360      "Tran NPN 40V 200mA SOT-23"                
Q6         "Tran PNP Darl 30V 500mA SOT-23"           TopLayer SOT23-3N        148.8000     121.9000     0        "Tran PNP Darl 30V 500mA SOT-23"           
Q7         "Tran NPN 40V 200mA SOT-23"                TopLayer SOT23-3N        135.5500     123.4000     0        "Tran NPN 40V 200mA SOT-23"                
Q8         "Tran PNP Darl 30V 500mA SOT-23"           TopLayer SOT23-3N        148.8000     127.4000     0        "Tran PNP Darl 30V 500mA SOT-23"           
Q9         "Tran NPN 40V 200mA SOT-23"                TopLayer SOT23-3N        135.5500     128.4000     0        "Tran NPN 40V 200mA SOT-23"                
Q10        "Tran PNP Darl 30V 500mA SOT-23"           TopLayer SOT23-3N        148.8000     132.9000     0        "Tran PNP Darl 30V 500mA SOT-23"           
Q11        "Tran NPN 40V 200mA SOT-23"                TopLayer SOT23-3N        135.5500     133.4000     0        "Tran NPN 40V 200mA SOT-23"                
Q12        "Tran PNP Darl 30V 500mA SOT-23"           TopLayer SOT23-3N        148.8000     138.4000     360      "Tran PNP Darl 30V 500mA SOT-23"           
Q13        "Tran NPN 40V 200mA SOT-23"                TopLayer SOT23-3N        135.5500     138.4000     0        "Tran NPN 40V 200mA SOT-23"                
R1         "Res 499K 1/10W 1% 0603"                   TopLayer RESC1608N-0603  126.7000     101.6000     360      "Res 499K 1/10W 1% 0603"                   
R2         "Res 10.0K 1/10W 1% 0603"                  TopLayer RESC1608N-0603  131.3000     104.2000     90       "Res 10.0K 1/10W 1% 0603"                  
R3         "Res 100K 1/10W 1% 0603"                   TopLayer RESC1608N-0603  148.8000     113.4000     360      "Res 100K 1/10W 1% 0603"                   
R4         "Res 280K 1/10W 1% 0603"                   TopLayer RESC1608N-0603  135.9500     115.9000     180      "Res 280K 1/10W 1% 0603"                   
R5         "Res 499K 1/10W 1% 0603"                   TopLayer RESC1608N-0603  130.5000     101.6000     180      "Res 499K 1/10W 1% 0603"                   
R6         "Res 10.0K 1/10W 1% 0603"                  TopLayer RESC1608N-0603  122.2000     114.7000     180      "Res 10.0K 1/10W 1% 0603"                  
R7         "Res 200K 1/10W 1% 0603"                   TopLayer RESC1608N-0603  117.1000     106.5000     360      "Res 200K 1/10W 1% 0603"                   
R8         "Res 1.00K 1/10W 1% 0603"                  TopLayer RESC1608N-0603  92.1000      136.7000     360      "Res 1.00K 1/10W 1% 0603"                  
R9         "Res 10.0K 1/10W 1% 0603"                  TopLayer RESC1608N-0603  132.7000     115.1000     270      "Res 10.0K 1/10W 1% 0603"                  
R10        "Res 200K 1/10W 1% 0603"                   TopLayer RESC1608N-0603  129.6000     104.2000     90       "Res 200K 1/10W 1% 0603"                   
R11        "Res 121R 1/4W 1% 1206"                    TopLayer RESC3216N-1206  139.3000     111.4000     270      "Res 121R 1/4W 1% 1206"                    
R12        "Res 121R 1/4W 1% 1206"                    TopLayer RESC3216N-1206  142.0500     111.4000     270      "Res 121R 1/4W 1% 1206"                    
R13        "Res 121R 1/4W 1% 1206"                    TopLayer RESC3216N-1206  144.8000     111.4000     270      "Res 121R 1/4W 1% 1206"                    
R17        "Res 499K 1/10W 1% 0603"                   TopLayer RESC1608N-0603  133.0000     104.2000     90       "Res 499K 1/10W 1% 0603"                   
R18        "Res 100K 1/10W 1% 0603"                   TopLayer RESC1608N-0603  148.8000     118.9000     360      "Res 100K 1/10W 1% 0603"                   
R19        "Res 280K 1/10W 1% 0603"                   TopLayer RESC1608N-0603  135.9500     120.9000     180      "Res 280K 1/10W 1% 0603"                   
R20        "Res 10.0K 1/10W 1% 0603"                  TopLayer RESC1608N-0603  130.3000     107.9000     360      "Res 10.0K 1/10W 1% 0603"                  
R21        "Res 2.32K 1/10W 1% 0603"                  TopLayer RESC1608N-0603  92.1000      135.1000     180      "Res 2.32K 1/10W 1% 0603"                  
R22        "Res 10.0K 1/10W 1% 0603"                  TopLayer RESC1608N-0603  126.7000     115.6000     180      "Res 10.0K 1/10W 1% 0603"                  
R24        "Res 10.0K 1/10W 1% 0603"                  TopLayer RESC1608N-0603  132.7000     118.4000     90       "Res 10.0K 1/10W 1% 0603"                  
R25        "Res 200K 1/10W 1% 0603"                   TopLayer RESC1608N-0603  132.1000     110.9000     360      "Res 200K 1/10W 1% 0603"                   
R26        "Res 4.99K 1/10W 1% 0603"                  TopLayer RESC1608N-0603  90.4000      132.2000     90       "Res 4.99K 1/10W 1% 0603"                  
R27        "Res 200K 1/10W 1% 0603"                   TopLayer RESC1608N-0603  135.6500     110.9000     360      "Res 200K 1/10W 1% 0603"                   
R28        "Res 121R 1/4W 1% 1206"                    TopLayer RESC3216N-1206  139.3000     116.9000     270      "Res 121R 1/4W 1% 1206"                    
R29        "Res 121R 1/4W 1% 1206"                    TopLayer RESC3216N-1206  142.0500     116.9000     270      "Res 121R 1/4W 1% 1206"                    
R30        "Res 121R 1/4W 1% 1206"                    TopLayer RESC3216N-1206  144.8000     116.9000     270      "Res 121R 1/4W 1% 1206"                    
R34        "Res 100K 1/10W 1% 0603"                   TopLayer RESC1608N-0603  148.8000     124.4000     360      "Res 100K 1/10W 1% 0603"                   
R35        "Res 280K 1/10W 1% 0603"                   TopLayer RESC1608N-0603  136.0500     125.9000     180      "Res 280K 1/10W 1% 0603"                   
R36        "Res 499K 1/10W 1% 0603"                   TopLayer RESC1608N-0603  119.5000     101.6000     360      "Res 499K 1/10W 1% 0603"                   
R37        "Res 10.0K 1/10W 1% 0603"                  TopLayer RESC1608N-0603  122.2000     116.5000     180      "Res 10.0K 1/10W 1% 0603"                  
R38        "Res 10.0K 1/10W 1% 0603"                  TopLayer RESC1608N-0603  114.4000     104.4000     90       "Res 10.0K 1/10W 1% 0603"                  
R39        "Res 120R 1/10W 1% 0603"                   TopLayer RESC1608N-0603  92.6000      105.6000     360      "Res 120R 1/10W 1% 0603"                   
R40        "Res 10.0K 1/10W 1% 0603"                  TopLayer RESC1608N-0603  132.8000     123.4000     90       "Res 10.0K 1/10W 1% 0603"                  
R41        "Res 499K 1/10W 1% 0603"                   TopLayer RESC1608N-0603  115.4000     101.6000     360      "Res 499K 1/10W 1% 0603"                   
R42        "Res 121R 1/4W 1% 1206"                    TopLayer RESC3216N-1206  139.3000     122.4000     270      "Res 121R 1/4W 1% 1206"                    
R43        "Res 121R 1/4W 1% 1206"                    TopLayer RESC3216N-1206  142.0500     122.4000     270      "Res 121R 1/4W 1% 1206"                    
R44        "Res 121R 1/4W 1% 1206"                    TopLayer RESC3216N-1206  144.8000     122.4000     270      "Res 121R 1/4W 1% 1206"                    
R48        "Res 200K 1/10W 1% 0603"                   TopLayer RESC1608N-0603  117.1000     105.0000     360      "Res 200K 1/10W 1% 0603"                   
R49        "Res 200K 1/10W 1% 0603"                   TopLayer RESC1608N-0603  117.1000     103.3000     180      "Res 200K 1/10W 1% 0603"                   
R50        "Res 100K 1/10W 1% 0603"                   TopLayer RESC1608N-0603  148.8000     129.9000     360      "Res 100K 1/10W 1% 0603"                   
R51        "Res 100K 1/10W 1% 0603"                   TopLayer RESC1608N-0603  136.0500     130.9000     180      "Res 100K 1/10W 1% 0603"                   
R52        "Res 10.0K 1/10W 1% 0603"                  TopLayer RESC1608N-0603  126.7000     117.4000     180      "Res 10.0K 1/10W 1% 0603"                  
R53        "Res 499K 1/10W 1% 0603"                   TopLayer RESC1608N-0603  114.4000     108.2000     90       "Res 499K 1/10W 1% 0603"                   
R54        "Res 10.0K 1/10W 1% 0603"                  TopLayer RESC1608N-0603  132.8000     128.4000     90       "Res 10.0K 1/10W 1% 0603"                  
R55        "Res 10.0K 1/10W 1% 0603"                  TopLayer RESC1608N-0603  116.2000     110.6000     90       "Res 10.0K 1/10W 1% 0603"                  
R56        "Res 10.0K 1/10W 1% 0603"                  TopLayer RESC1608N-0603  112.0500     136.2000     180      "Res 10.0K 1/10W 1% 0603"                  
R57        "Res 121R 1/4W 1% 1206"                    TopLayer RESC3216N-1206  139.3000     127.9000     270      "Res 121R 1/4W 1% 1206"                    
R58        "Res 121R 1/4W 1% 1206"                    TopLayer RESC3216N-1206  142.0500     127.9000     270      "Res 121R 1/4W 1% 1206"                    
R59        "Res 121R 1/4W 1% 1206"                    TopLayer RESC3216N-1206  144.8000     127.9000     270      "Res 121R 1/4W 1% 1206"                    
R63        "Res 499K 1/10W 1% 0603"                   TopLayer RESC1608N-0603  119.4000     112.0000     270      "Res 499K 1/10W 1% 0603"                   
R64        "Res 200K 1/10W 1% 0603"                   TopLayer RESC1608N-0603  117.1000     108.0000     360      "Res 200K 1/10W 1% 0603"                   
R65        "Res 200K 1/10W 1% 0603"                   TopLayer RESC1608N-0603  117.8000     110.6000     270      "Res 200K 1/10W 1% 0603"                   
R66        "Res 100K 1/10W 1% 0603"                   TopLayer RESC1608N-0603  148.8000     135.4000     360      "Res 100K 1/10W 1% 0603"                   
R67        "Res 100K 1/10W 1% 0603"                   TopLayer RESC1608N-0603  136.0500     135.9000     180      "Res 100K 1/10W 1% 0603"                   
R68        "Res 10.0K 1/10W 1% 0603"                  TopLayer RESC1608N-0603  122.2000     118.3000     180      "Res 10.0K 1/10W 1% 0603"                  
R69        "Res 10.0K 1/10W 1% 0603"                  TopLayer RESC1608N-0603  132.8000     133.4000     90       "Res 10.0K 1/10W 1% 0603"                  
R70        "Res 121R 1/4W 1% 1206"                    TopLayer RESC3216N-1206  139.3000     133.4000     270      "Res 121R 1/4W 1% 1206"                    
R71        "Res 121R 1/4W 1% 1206"                    TopLayer RESC3216N-1206  142.0500     133.4000     270      "Res 121R 1/4W 1% 1206"                    
